customer_id,signup_date,region,account_type,risk_segment
CUST000062,2025-04-07,Midwest,Basic,Low
CUST000063,2024-10-12,South,Basic,Medium
CUST000064,2021-07-11,West,Basic,Low
CUST000065,2020-04-25,South,Business,Low
CUST000066,2023-04-03,South,Basic,High
CUST000067,2025-08-16,South,Premium,Low
CUST000068,2025-05-27,Midwest,Basic,High
CUST000069,2022-10-15,Northeast,Basic,Low
CUST000070,2023-01-21,Midwest,Basic,Low
CUST000071,2022-03-23,Northeast,Basic,Low
CUST000072,2025-09-09,Midwest,Basic,Medium
CUST000073,2020-04-20,West,Basic,Low
CUST000074,2020-10-29,Northeast,Basic,Medium
CUST000075,2024-02-14,Northeast,Business,Low
CUST000076,2020-07-08,Midwest,Basic,Medium
CUST000077,2024-10-09,Midwest,Basic,Low
CUST000078,2025-03-21,South,Basic,Low
CUST000079,2019-02-21,South,Basic,Medium
CUST000080,2020-04-30,West,Premium,Medium
CUST000081,2018-01-08,South,Basic,Low
CUST000082,2024-02-27,Midwest,Premium,Low
CUST000083,2020-05-20,West,Basic,Low
CUST000084,2025-02-25,Northeast,Basic,High
CUST000085,2022-05-01,Northeast,Business,Low
CUST000086,2026-06-07,Northeast,Basic,Medium
CUST000087,2024-12-16,South,Premium,Low
CUST000088,2025-02-28,Midwest,Basic,Medium
CUST000089,2023-07-21,Northeast,Business,Low
CUST000090,2020-07-14,South,Basic,Low
CUST000091,2023-11-09,Northeast,Basic,Low
CUST000092,2022-03-31,South,Premium,Low
CUST000093,2023-02-15,Midwest,Basic,Low
CUST000094,2026-04-02,Midwest,Basic,Low
CUST000095,2024-04-08,Midwest,Business,Medium
CUST000096,2025-03-20,South,Premium,Low
CUST000097,2026-01-30,Midwest,Premium,Low
CUST000098,2018-12-27,Northeast,Premium,High
CUST000099,2026-05-30,Northeast,Premium,Low
CUST000100,2022-05-26,International,Premium,Low
CUST000101,2019-05-08,West,Premium,High
CUST000102,2020-01-19,South,Basic,Medium
CUST000103,2026-05-04,Northeast,Basic,High
CUST000104,2022-07-06,International,Premium,Medium
CUST000105,2019-08-10,West,Premium,Medium
CUST000106,2023-09-30,South,Basic,Low
CUST000107,2023-01-11,Midwest,Basic,Low
CUST000108,2018-07-16,Midwest,Basic,High
CUST000109,2019-12-26,Northeast,Basic,Medium
CUST000110,2026-04-06,West,Premium,Low
CUST000111,2020-06-16,Midwest,Basic,Low
CUST000112,2018-04-07,Northeast,Premium,Low
CUST000113,2025-11-26,Midwest,Premium,Low
CUST000114,2026-05-05,South,Business,Medium
CUST000115,2021-11-23,Northeast,Basic,Low
CUST000116,2024-10-30,West,Business,Low
CUST000117,2018-10-19,West,Premium,High
CUST000118,2025-12-30,South,Premium,Low
CUST000119,2022-07-20,Midwest,Basic,Low
CUST000120,2024-11-21,South,Basic,Low
CUST000121,2021-08-25,South,Premium,Low
CUST000122,2023-10-03,South,Basic,Low
CUST000123,2019-01-07,Northeast,Basic,Low
CUST000124,2025-01-25,Midwest,Premium,Low
CUST000125,2023-01-07,Northeast,Premium,Low
CUST000126,2018-01-10,South,Basic,Low
CUST000127,2026-04-22,Midwest,Basic,Low
CUST000128,2018-02-23,Northeast,Basic,High
CUST000129,2022-10-27,Northeast,Business,Low
CUST000130,2021-03-01,South,Business,Low
CUST000131,2025-12-18,Northeast,Basic,Medium
CUST000132,2022-05-13,West,Basic,Low
CUST000133,2025-08-31,South,Basic,Low
CUST000134,2021-05-16,Midwest,Basic,Medium
CUST000135,2021-07-11,South,Business,Low
CUST000136,2022-09-28,Northeast,Basic,Low
CUST000137,2022-12-22,International,Basic,Medium
CUST000138,2021-02-23,Midwest,Basic,Low
CUST000139,2025-07-12,West,Basic,Low
CUST000140,2018-04-19,Northeast,Premium,Low
CUST000141,2023-06-16,Midwest,Premium,Low
CUST000142,2025-05-04,South,Premium,Medium
CUST000143,2021-01-15,International,Basic,Low
CUST000144,2024-12-13,South,Business,Low
CUST000145,2023-06-30,Midwest,Basic,Low
CUST000146,2020-06-03,Northeast,Premium,High
CUST000147,2025-09-16,Midwest,Business,Low
CUST000148,2025-06-26,South,Basic,Low
CUST000149,2022-05-21,Midwest,Business,Low
CUST000150,2025-03-25,Northeast,Basic,Low
CUST000151,2024-09-01,West,Premium,Low
CUST000152,2026-06-22,West,Basic,High
CUST000153,2025-06-12,Northeast,Basic,Low
CUST000154,2019-08-13,South,Basic,Low
CUST000155,2021-10-10,Northeast,Basic,Low
CUST000156,2025-12-19,South,Basic,Low
CUST000157,2022-07-04,Midwest,Basic,Low
CUST000158,2018-04-18,South,Premium,Medium
CUST000159,2022-12-24,South,Basic,Low
CUST000160,2018-06-19,West,Basic,Medium
CUST000161,2020-05-24,Northeast,Business,Low
CUST000162,2023-01-07,West,Business,Medium
CUST000163,2026-04-29,Northeast,Basic,Low
CUST000164,2022-06-13,Northeast,Basic,Low
CUST000165,2019-02-13,South,Premium,Low
CUST000166,2022-10-06,Midwest,Premium,High
CUST000167,2018-04-05,West,Basic,High
CUST000168,2019-08-14,West,Premium,Medium
CUST000169,2018-11-13,Midwest,Basic,Medium
CUST000170,2024-11-23,International,Basic,Low
CUST000171,2020-07-30,Midwest,Premium,Low
CUST000172,2021-11-28,South,Premium,Low
CUST000173,2023-07-15,Northeast,Premium,Medium
CUST000174,2026-06-13,International,Basic,Low
CUST000175,2024-12-20,Northeast,Basic,Low
CUST000176,2025-03-31,Northeast,Basic,Low
CUST000177,2020-10-04,Midwest,Basic,Low
CUST000178,2020-11-01,International,Basic,Medium
CUST000179,2023-07-29,West,Basic,Low
CUST000180,2020-05-08,West,Basic,Medium
CUST000181,2019-08-15,West,Premium,High
CUST000182,2026-02-16,West,Basic,Medium
CUST000183,2025-09-27,South,Basic,Low
CUST000184,2023-03-27,Midwest,Premium,Low
CUST000185,2025-07-27,West,Basic,Low
CUST000186,2021-05-29,South,Premium,Low
CUST000187,2018-01-24,Midwest,Basic,Low
CUST000188,2025-01-09,Northeast,Basic,Low
CUST000189,2018-01-01,West,Business,Low
CUST000190,2019-03-25,Northeast,Premium,Low
CUST000191,2020-06-07,International,Premium,High
CUST000192,2018-05-09,Northeast,Premium,Low
CUST000193,2019-02-16,Northeast,Basic,Low
CUST000194,2023-12-06,West,Premium,Low
CUST000195,2023-12-26,Northeast,Business,Low
CUST000196,2025-06-07,Northeast,Business,High
CUST000197,2026-05-31,South,Basic,Low
CUST000198,2018-10-29,West,Basic,Medium
CUST000199,2018-03-22,Northeast,Premium,Low
CUST000200,2020-06-24,Midwest,Basic,Medium
CUST000201,2019-11-08,West,Basic,Medium
CUST000202,2018-07-17,International,Basic,Medium
CUST000203,2023-12-07,South,Basic,Low
CUST000204,2026-06-18,Northeast,Basic,Low
CUST000205,2019-11-23,Northeast,Basic,Medium
CUST000206,2020-03-16,Northeast,Basic,Low
CUST000207,2023-01-11,Northeast,Basic,Low
CUST000208,2026-05-24,South,Business,Low
CUST000209,2020-01-04,Northeast,Basic,Low
CUST000210,2026-01-08,South,Basic,Low
CUST000211,2025-01-13,South,Basic,Low
CUST000212,2021-12-18,South,Basic,Low
CUST000213,2024-11-29,Northeast,Business,Low
CUST000214,2021-04-30,West,Business,Medium
CUST000215,2022-06-29,South,Basic,Medium
CUST000216,2022-10-24,West,Basic,Medium
CUST000217,2022-06-05,Northeast,Basic,Low
CUST000218,2026-01-10,Northeast,Basic,Low
CUST000219,2024-03-17,West,Basic,Low
CUST000220,2018-01-27,Midwest,Basic,Low
CUST000221,2024-03-11,Midwest,Basic,Medium
CUST000222,2024-05-10,Midwest,Premium,Medium
CUST000223,2024-04-30,South,Basic,Low
CUST000224,2020-07-29,International,Basic,Medium
CUST000225,2022-01-30,Midwest,Basic,Medium
CUST000226,2020-06-22,West,Basic,Medium
CUST000227,2023-11-19,Northeast,Basic,Medium
CUST000228,2025-08-10,South,Basic,Low
CUST000229,2020-03-11,South,Basic,Low
CUST000230,2026-01-09,Northeast,Basic,Low
CUST000231,2018-05-07,Northeast,Premium,Low
CUST000232,2025-07-24,Midwest,Business,Medium
CUST000233,2019-06-12,International,Basic,Low
CUST000234,2020-08-13,South,Basic,Low
CUST000235,2021-02-21,International,Premium,Medium
CUST000236,2025-02-04,West,Premium,Low
CUST000237,2024-01-20,Midwest,Basic,Medium
CUST000238,2020-12-01,West,Basic,Low
CUST000239,2025-07-15,Northeast,Basic,Low
CUST000240,2019-01-18,Northeast,Premium,Low
CUST000241,2024-12-21,West,Basic,Low
CUST000242,2026-04-12,West,Basic,Low
CUST000243,2021-05-17,Northeast,Basic,Low
CUST000244,2025-07-02,South,Basic,Low
CUST000245,2025-09-12,South,Basic,Low
CUST000246,2026-06-08,West,Premium,Medium
CUST000247,2025-05-01,South,Basic,Low
CUST000248,2022-10-17,Midwest,Basic,Low
CUST000249,2024-04-29,Midwest,Basic,Low
CUST000250,2023-04-18,Midwest,Premium,High
CUST000251,2026-04-20,South,Basic,Medium
CUST000252,2024-08-20,West,Basic,High
CUST000253,2025-02-02,Midwest,Basic,Medium
CUST000254,2019-09-03,Northeast,Premium,Low
CUST000255,2019-01-05,Northeast,Premium,Low
CUST000256,2021-12-21,West,Business,Low
CUST000257,2025-08-11,West,Premium,High
CUST000258,2018-04-15,Northeast,Basic,Low
CUST000259,2021-11-26,Northeast,Basic,Low
CUST000260,2018-09-15,South,Basic,Medium
CUST000261,2020-11-07,Northeast,Premium,Medium
CUST000262,2025-07-19,West,Premium,High
CUST000263,2024-04-03,Midwest,Basic,Low
CUST000264,2022-10-12,Northeast,Business,Low
CUST000265,2022-05-16,West,Basic,Low
CUST000266,2023-10-28,Northeast,Basic,Low
CUST000267,2019-04-07,Midwest,Basic,Low
CUST000268,2019-10-18,Northeast,Premium,Low
CUST000269,2023-04-08,Northeast,Business,Medium
CUST000270,2023-03-31,Northeast,Basic,Low
CUST000271,2018-02-24,Northeast,Business,Low
CUST000272,2025-05-03,Northeast,Business,Medium
CUST000273,2019-08-04,Northeast,Premium,Low
CUST000274,2018-01-16,South,Premium,Low
CUST000275,2022-08-18,South,Basic,Low
CUST000276,2025-01-30,Midwest,Premium,Low
CUST000277,2023-11-22,Midwest,Premium,Medium
CUST000278,2025-11-16,South,Premium,Low
CUST000279,2026-02-20,West,Basic,Low
CUST000280,2025-09-28,West,Premium,High
CUST000281,2026-06-13,Northeast,Business,Low
CUST000282,2019-11-23,Northeast,Basic,Medium
CUST000283,2025-11-01,Northeast,Business,Low
CUST000284,2025-01-04,Northeast,Basic,High
CUST000285,2023-10-31,South,Basic,Low
CUST000286,2021-12-23,Midwest,Basic,Low
CUST000287,2025-04-06,Northeast,Premium,Medium
CUST000288,2023-09-22,Midwest,Premium,Medium
CUST000289,2026-06-24,South,Basic,Low
CUST000290,2018-06-25,Northeast,Premium,Low
CUST000291,2026-04-06,West,Basic,Low
CUST000292,2023-02-27,Northeast,Basic,Medium
CUST000293,2025-07-13,West,Premium,Medium
CUST000294,2022-06-11,Northeast,Premium,Low
CUST000295,2026-03-05,West,Premium,Low
CUST000296,2021-05-10,West,Premium,Medium
CUST000297,2022-09-01,International,Business,Medium
CUST000298,2018-05-04,West,Basic,Low
CUST000299,2024-06-24,West,Basic,Medium
CUST000300,2026-05-19,South,Basic,High
CUST000301,2019-06-22,West,Premium,Low
CUST000302,2021-05-05,Northeast,Premium,Low
CUST000303,2025-05-11,South,Premium,Low
CUST000304,2020-10-18,South,Basic,Low
CUST000305,2019-12-05,West,Basic,High
CUST000306,2024-01-12,Midwest,Premium,Low
CUST000307,2022-11-12,Midwest,Business,Low
CUST000308,2026-04-06,South,Basic,Low
CUST000309,2023-07-21,Northeast,Basic,Medium
CUST000310,2023-02-03,Northeast,Basic,Low
CUST000311,2019-03-03,Midwest,Basic,Low
CUST000312,2026-03-29,Midwest,Basic,Low
CUST000313,2023-06-26,Northeast,Basic,Low
CUST000314,2025-03-09,Midwest,Premium,High
CUST000315,2018-08-13,Midwest,Basic,Medium
CUST000316,2023-04-30,Midwest,Basic,Medium
CUST000317,2025-08-01,Midwest,Basic,Low
CUST000318,2020-04-18,South,Business,Low
CUST000319,2020-10-10,Midwest,Basic,High
CUST000320,2024-01-28,International,Basic,Low
CUST000321,2025-07-18,West,Basic,Medium
CUST000322,2020-08-04,Midwest,Premium,Low
CUST000323,2020-10-17,Midwest,Premium,Low
CUST000324,2018-05-19,South,Basic,Low
CUST000325,2025-01-21,West,Basic,Low
CUST000326,2020-11-25,South,Basic,Low
CUST000327,2018-02-13,West,Premium,Low
CUST000328,2023-04-20,South,Business,Low
CUST000329,2020-12-21,South,Basic,Low
CUST000330,2021-07-04,Midwest,Basic,Medium
CUST000331,2025-07-03,West,Premium,Low
CUST000332,2023-05-07,Northeast,Premium,Medium
CUST000333,2020-12-29,South,Basic,Low
CUST000334,2018-04-01,West,Basic,Low
CUST000335,2021-06-02,Northeast,Basic,Low
CUST000336,2019-03-30,South,Premium,High
CUST000337,2022-03-02,Northeast,Premium,Low
CUST000338,2021-12-12,South,Premium,High
CUST000339,2025-09-16,Northeast,Premium,Low
CUST000340,2020-09-12,International,Basic,Medium
CUST000341,2022-03-04,Northeast,Basic,Medium
CUST000342,2026-01-06,International,Basic,High
CUST000343,2024-02-25,West,Premium,Low
CUST000344,2024-09-27,South,Premium,High
CUST000345,2018-08-01,West,Basic,Low
CUST000346,2025-12-26,West,Basic,Medium
CUST000347,2018-08-05,International,Premium,Low
CUST000348,2020-12-03,Northeast,Premium,Low
CUST000349,2023-03-11,South,Premium,Low
CUST000350,2021-10-18,Northeast,Basic,Medium
CUST000351,2023-08-28,South,Business,Low
CUST000352,2024-05-23,Northeast,Premium,Low
CUST000353,2026-06-15,South,Premium,Low
CUST000354,2026-01-02,South,Premium,Medium
CUST000355,2022-09-18,Midwest,Business,Low
CUST000356,2023-08-16,South,Business,Low
CUST000357,2019-08-19,West,Premium,Low
CUST000358,2020-02-10,West,Basic,Medium
CUST000359,2020-05-22,South,Basic,Low
CUST000360,2023-03-19,South,Premium,Medium
CUST000361,2025-07-11,International,Premium,Medium
CUST000362,2018-12-23,Northeast,Basic,Low
CUST000363,2023-08-05,Northeast,Basic,Low
CUST000364,2026-02-13,Northeast,Business,Low
CUST000365,2022-02-28,South,Business,Low
CUST000366,2026-04-26,Midwest,Business,Low
CUST000367,2026-03-08,West,Basic,Medium
CUST000368,2024-04-20,South,Premium,Low
CUST000369,2019-10-27,Midwest,Premium,Low
CUST000370,2018-10-26,West,Basic,High
CUST000371,2025-07-06,West,Basic,Low
CUST000372,2023-10-24,Midwest,Business,Low
CUST000373,2026-05-19,Midwest,Basic,Low
CUST000374,2018-10-09,Midwest,Premium,Low
CUST000375,2026-04-12,Northeast,Premium,Medium
CUST000376,2021-05-08,Northeast,Premium,Medium
CUST000377,2026-03-22,International,Basic,Low
CUST000378,2022-10-12,Midwest,Premium,Low
CUST000379,2018-06-03,Midwest,Basic,Low
CUST000380,2025-09-21,South,Premium,Low
CUST000381,2018-08-16,South,Basic,Low
CUST000382,2020-05-19,International,Premium,Low
CUST000383,2026-02-17,West,Premium,Low
CUST000384,2026-01-08,Midwest,Basic,Medium
CUST000385,2022-12-07,Midwest,Basic,Medium
CUST000386,2022-08-17,International,Premium,Low
CUST000387,2018-02-07,South,Basic,Low
CUST000388,2022-01-30,International,Basic,Low
CUST000389,2021-05-25,Northeast,Basic,Low
CUST000390,2021-09-13,West,Business,Low
CUST000391,2019-06-29,South,Premium,Low
CUST000392,2022-12-10,Northeast,Basic,High
CUST000393,2025-11-28,South,Business,Low
CUST000394,2020-10-27,South,Basic,Low
CUST000395,2018-05-25,Northeast,Basic,Low
CUST000396,2025-02-07,Midwest,Basic,Low
CUST000397,2025-07-15,West,Basic,Low
CUST000398,2021-10-06,Midwest,Basic,Low
CUST000399,2026-06-28,Midwest,Premium,Medium
CUST000400,2023-01-24,Midwest,Basic,Medium
CUST000401,2021-05-26,Midwest,Premium,High
CUST000402,2020-02-04,West,Basic,Low
CUST000403,2019-03-08,West,Basic,Low
CUST000404,2018-12-26,Northeast,Basic,Low
CUST000405,2018-07-03,International,Premium,Low
CUST000406,2026-05-12,West,Premium,Low
CUST000407,2018-02-10,Midwest,Basic,Medium
CUST000408,2024-01-18,West,Basic,Medium
CUST000409,2022-02-01,Northeast,Basic,Low
CUST000410,2022-05-01,International,Premium,Low
CUST000411,2026-06-07,South,Basic,Low
CUST000412,2026-03-05,South,Premium,Low
CUST000413,2025-03-22,Northeast,Basic,Low
CUST000414,2026-06-12,West,Basic,Low
CUST000415,2019-03-27,Northeast,Premium,Low
CUST000416,2021-12-26,Northeast,Basic,High
CUST000417,2022-06-27,Northeast,Basic,Low
CUST000418,2025-05-14,West,Business,Low
CUST000419,2022-05-31,Northeast,Basic,Low
CUST000420,2022-06-22,West,Basic,Medium
CUST000421,2024-11-10,South,Basic,Low
CUST000422,2024-05-27,Northeast,Basic,Low
CUST000423,2020-10-19,Northeast,Premium,Low
CUST000424,2022-10-31,Northeast,Basic,Low
CUST000425,2023-10-01,South,Business,Low
CUST000426,2018-03-09,West,Premium,Low
CUST000427,2026-01-09,Northeast,Business,Low
CUST000428,2026-05-15,West,Premium,Medium
CUST000429,2018-11-04,Northeast,Business,Low
CUST000430,2026-02-15,West,Premium,Medium
CUST000431,2025-02-02,West,Basic,Low
CUST000432,2020-10-24,West,Basic,Medium
CUST000433,2026-03-23,South,Premium,Low
CUST000434,2026-06-23,West,Basic,Low
CUST000435,2023-02-04,Northeast,Premium,Low
CUST000436,2023-01-20,Northeast,Basic,High
CUST000437,2019-10-25,Northeast,Premium,Low
CUST000438,2023-10-12,South,Basic,Medium
CUST000439,2025-12-26,West,Business,High
CUST000440,2024-08-08,South,Basic,Low
CUST000441,2022-03-22,West,Basic,Low
CUST000442,2025-01-22,Northeast,Premium,Low
CUST000443,2025-10-06,West,Premium,High
CUST000444,2023-06-04,Northeast,Premium,Low
CUST000445,2026-03-06,Midwest,Business,Low
CUST000446,2020-09-14,South,Basic,Low
CUST000447,2019-03-14,International,Premium,Medium
CUST000448,2024-02-01,South,Basic,Low
CUST000449,2026-03-25,Northeast,Basic,Low
CUST000450,2024-02-26,South,Basic,Low
CUST000451,2022-09-11,Northeast,Basic,Low
CUST000452,2023-10-20,West,Premium,High
CUST000453,2025-08-08,South,Premium,Medium
CUST000454,2023-06-16,Northeast,Basic,Low
CUST000455,2021-06-02,Northeast,Business,Low
CUST000456,2026-03-09,Northeast,Basic,Medium
CUST000457,2025-03-21,International,Basic,Low
CUST000458,2020-01-29,Midwest,Premium,Low
CUST000459,2019-07-03,West,Basic,Low
CUST000460,2020-11-05,South,Basic,Low
CUST000461,2023-09-14,South,Premium,High
CUST000462,2018-10-22,Northeast,Basic,Low
CUST000463,2026-02-03,International,Basic,Low
CUST000464,2023-10-25,Midwest,Premium,Medium
CUST000465,2026-01-01,South,Basic,Low
CUST000466,2022-07-10,South,Premium,Medium
CUST000467,2025-03-17,South,Premium,Low
CUST000468,2022-04-16,International,Basic,Low
CUST000469,2019-08-02,Northeast,Basic,Low
CUST000470,2019-09-22,South,Basic,Low
CUST000471,2024-01-12,Midwest,Premium,Low
CUST000472,2022-04-22,Midwest,Basic,Low
CUST000473,2024-12-15,Northeast,Business,Medium
CUST000474,2025-09-05,Northeast,Basic,Medium
CUST000475,2020-07-03,Midwest,Premium,Low
CUST000476,2024-12-19,Midwest,Basic,Low
CUST000477,2022-05-11,Midwest,Basic,Low
CUST000478,2026-04-16,South,Basic,Low
CUST000479,2018-04-24,South,Premium,Low
CUST000480,2021-09-06,Midwest,Business,Medium
CUST000481,2023-09-20,Midwest,Basic,High
CUST000482,2023-08-30,Northeast,Basic,Low
CUST000483,2023-01-03,South,Basic,Medium
CUST000484,2019-02-25,Midwest,Basic,Low
CUST000485,2021-10-30,Northeast,Business,Low
CUST000486,2025-02-25,Midwest,Business,Low
CUST000487,2023-08-13,Midwest,Business,Low
CUST000488,2022-06-01,Northeast,Basic,Low
CUST000489,2019-05-11,South,Basic,High
CUST000490,2026-02-01,South,Premium,Low
CUST000491,2026-01-28,South,Basic,Low
CUST000492,2018-05-16,South,Premium,Low
CUST000493,2025-02-18,South,Basic,High
CUST000494,2019-05-29,Midwest,Basic,Low
CUST000495,2018-06-29,West,Premium,High
CUST000496,2021-10-05,South,Basic,Medium
CUST000497,2026-04-25,Midwest,Business,Low
CUST000498,2018-06-10,South,Basic,Low
CUST000499,2022-04-21,Midwest,Basic,Low
CUST000500,2020-12-20,South,Basic,Medium
CUST000501,2023-11-09,West,Basic,Low
CUST000502,2025-09-20,West,Basic,Low
CUST000503,2022-09-06,West,Basic,Low
CUST000504,2026-05-18,South,Premium,Low
CUST000505,2018-12-15,South,Business,Medium
CUST000506,2025-06-22,West,Basic,Medium
CUST000507,2025-05-27,Midwest,Basic,Low
CUST000508,2019-03-08,West,Basic,Low
CUST000509,2022-07-15,South,Premium,Low
CUST000510,2018-01-20,Northeast,Premium,Medium
CUST000511,2020-09-13,Northeast,Basic,Low
CUST000512,2018-11-07,West,Basic,Medium
CUST000513,2025-12-02,Northeast,Basic,Low
CUST000514,2023-04-04,Midwest,Basic,Low
CUST000515,2021-04-08,Midwest,Basic,Medium
CUST000516,2021-02-11,Northeast,Business,Low
CUST000517,2021-02-24,Midwest,Basic,Low
CUST000518,2019-05-24,West,Basic,Medium
CUST000519,2020-08-18,Northeast,Basic,Low
CUST000520,2026-05-24,West,Premium,High
CUST000521,2018-04-16,West,Basic,High
CUST000522,2023-07-07,Midwest,Basic,Medium
CUST000523,2019-02-26,Northeast,Basic,Low
CUST000524,2018-10-20,South,Premium,Low
CUST000525,2020-01-01,Northeast,Basic,Medium
CUST000526,2019-11-19,Midwest,Business,Low
CUST000527,2020-03-19,International,Basic,High
CUST000528,2026-04-08,International,Basic,Low
CUST000529,2024-05-02,West,Business,Low
CUST000530,2022-11-06,Midwest,Premium,Low
CUST000531,2025-03-21,South,Basic,Low
CUST000532,2026-05-31,South,Premium,Low
CUST000533,2023-12-08,Midwest,Basic,Low
CUST000534,2025-02-11,South,Basic,Medium
CUST000535,2025-07-31,Northeast,Premium,Low
CUST000536,2023-06-06,Northeast,Premium,Low
CUST000537,2018-08-16,South,Basic,Low
CUST000538,2018-07-15,Northeast,Premium,Medium
CUST000539,2022-03-30,Northeast,Basic,Low
CUST000540,2025-07-03,West,Basic,High
CUST000541,2021-02-03,International,Business,High
CUST000542,2023-04-04,South,Basic,Low
CUST000543,2021-10-25,West,Premium,Low
CUST000544,2022-12-24,International,Premium,Medium
CUST000545,2025-03-10,Northeast,Premium,Low
CUST000546,2018-01-06,Midwest,Basic,Medium
CUST000547,2019-10-06,Midwest,Business,Low
CUST000548,2019-06-01,Northeast,Premium,Low
CUST000549,2025-06-26,West,Premium,Medium
CUST000550,2026-03-01,Midwest,Basic,Low
CUST000551,2019-01-24,Midwest,Basic,High
CUST000552,2018-11-19,Northeast,Basic,Low
CUST000553,2019-05-29,Northeast,Basic,High
CUST000554,2020-04-14,West,Basic,Low
CUST000555,2019-05-20,Northeast,Premium,Medium
CUST000556,2019-04-16,Northeast,Business,Medium
CUST000557,2025-11-12,Midwest,Basic,Low
CUST000558,2018-10-12,South,Basic,Low
CUST000559,2019-01-29,South,Premium,Medium
CUST000560,2026-04-01,South,Basic,Medium
CUST000561,2018-02-16,Northeast,Business,Low
CUST000562,2025-02-03,Northeast,Basic,Low
CUST000563,2018-06-27,West,Basic,Medium
CUST000564,2025-10-20,South,Basic,Low
CUST000565,2022-11-12,South,Business,Low
CUST000566,2026-01-13,South,Basic,Low
CUST000567,2026-01-12,West,Premium,Low
CUST000568,2018-05-28,Northeast,Basic,Medium
CUST000569,2020-05-31,Midwest,Basic,Low
CUST000570,2022-06-08,South,Business,High
CUST000571,2022-10-11,Midwest,Basic,Low
CUST000572,2025-07-02,West,Basic,Low
CUST000573,2023-12-06,Midwest,Basic,Low
CUST000574,2026-03-31,West,Premium,Low
CUST000575,2023-05-12,West,Basic,Medium
CUST000576,2023-08-02,South,Basic,Low
CUST000577,2026-06-16,West,Business,Medium
CUST000578,2023-07-24,South,Premium,Low
CUST000579,2022-02-06,West,Premium,Low
CUST000580,2020-10-16,Midwest,Premium,Low
CUST000581,2020-07-14,South,Premium,Medium
CUST000582,2023-10-05,South,Basic,Low
CUST000583,2020-01-27,Northeast,Basic,Low
CUST000584,2022-05-30,Midwest,Premium,Low
CUST000585,2025-10-01,West,Premium,Low
CUST000586,2020-08-26,South,Business,Low
CUST000587,2021-02-26,Northeast,Premium,Low
CUST000588,2018-07-26,Midwest,Basic,High
CUST000589,2022-12-20,Northeast,Basic,Low
CUST000590,2025-02-06,Northeast,Premium,Low
CUST000591,2018-07-08,West,Basic,Low
CUST000592,2019-10-05,Midwest,Premium,Medium
CUST000593,2021-09-20,Midwest,Premium,Low
CUST000594,2020-02-06,South,Basic,Low
