ticket_id,customer_id,created_at,subject,body_text,category
TCKT00017,CUST003009,2025-01-03 07:20:46,No response to my ticket in a week,"This is taking far too long to resolve for a simple issue. I just want an update, even if the answer is 'still working on it'.",slow_support
TCKT00018,CUST000786,2025-01-03 12:09:31,I think my card was compromised,"My card must have been compromised, please freeze my account immediately. I noticed several small unauthorized charges over the past 6 days.",fraud_report
TCKT00019,CUST002089,2025-01-03 13:38:05,Question about account types,Where can I download a statement from last 4 days? Do you offer joint accounts for other purposes?,general_inquiry
TCKT00020,CUST002638,2025-01-03 15:08:47,Report possible fraud on my account,"I did not authorize this transaction and want it reversed. This looks like classic card-testing fraud, several tiny charges in a row. My card must have been compromised, please freeze my account immediately.",fraud_report
TCKT00021,CUST003294,2025-01-03 16:45:39,Need to verify my identity again,This review process is taking way too long for a routine check. I rely on this account for daily expenses and need access restored.,account_access
TCKT00022,CUST002885,2025-01-03 17:56:50,App keeps logging me out,I never receive the verification code by text or email. It says my credentials are invalid even though I just reset them. This has been happening for 11 days now and it's frustrating.,login_issue
TCKT00023,CUST000591,2025-01-03 22:19:20,Still waiting on a reply from support,"I've called twice and been on hold for over 40 minutes each time. Please escalate this, I've already followed up twice. I just want an update, even if the answer is 'still working on it'.",slow_support
TCKT00024,CUST003197,2025-01-04 02:00:58,Excellent service this week,Switching to this bank was one of the best financial decisions I've made. The app redesign is clean and much easier to navigate.,positive_feedback
TCKT00025,CUST000129,2025-01-04 05:23:02,Question about account types,Just have a quick question about how transfers are processed. Do you offer joint accounts for utilities purposes? What's the current interest rate on savings accounts?,general_inquiry
TCKT00026,CUST001929,2025-01-04 10:35:06,Question about account types,Can you explain the difference between the Basic and Premium account tiers? How do I update my mailing address on file? Just have a quick question about how transfers are processed.,general_inquiry
TCKT00027,CUST004656,2025-01-04 11:23:39,Following up again on an open case,I opened this ticket 5 days ago and still have no response. This is taking far too long to resolve for a simple issue. I've called twice and been on hold for over 40 minutes each time.,slow_support
TCKT00028,CUST003198,2025-01-05 06:29:29,Question about account types,Just have a quick question about how transfers are processed. What's the current interest rate on savings accounts?,general_inquiry
TCKT00029,CUST002300,2025-01-05 11:12:57,Really happy with the new features,Just wanted to recognize your team for great service this week. The app redesign is clean and much easier to navigate.,positive_feedback
TCKT00030,CUST001274,2025-01-05 16:33:20,Two-factor code never arrives,This has been happening for 12 days now and it's frustrating. I never receive the verification code by text or email. Can someone manually reset my login so I can access my account? It says my credentials are invalid even though I just reset them.,login_issue
TCKT00031,CUST004917,2025-01-05 19:22:46,My entertainment payment keeps failing,Please refund the pending hold from the failed charge. The payment failed but the funds still show as pending on my account. I tried to pay Snyder and Sons for $590.51 and the transaction was declined.,failed_transaction
TCKT00032,CUST000615,2025-01-05 20:56:32,Unexpected fee on my statement,Nobody told me the monthly maintenance fee was going up. I want this fee reversed or a clear explanation of why it was charged. This overdraft fee seems unfair given my account history.,fee_complaint
TCKT00033,CUST000830,2025-01-05 23:15:47,Just wanted to say thanks,Thank you for being transparent about the recent fee changes. The app redesign is clean and much easier to navigate. Just wanted to recognize your team for great service this week.,positive_feedback
TCKT00034,CUST002239,2025-01-06 00:08:08,Account frozen without explanation,My account has been frozen and nobody has explained why. Please tell me what documents you still need from me. I can't withdraw or transfer any funds right now.,account_access
TCKT00035,CUST001635,2025-01-06 00:16:24,Monthly fee increased without notice,This is the third fee I've been charged this year that surprised me. Nobody told me the monthly maintenance fee was going up. This overdraft fee seems unfair given my account history.,fee_complaint
TCKT00036,CUST000731,2025-01-06 01:35:18,"Failed transaction, need urgent help",This is the second time a transfer purchase has failed this month. Please refund the pending hold from the failed charge.,failed_transaction
TCKT00037,CUST004020,2025-01-06 08:55:35,Just wanted to say thanks,The new budgeting feature in the app is genuinely useful. Just wanted to recognize your team for great service this week.,positive_feedback
TCKT00038,CUST000344,2025-01-07 01:02:13,Monthly fee increased without notice,This overdraft fee seems unfair given my account history. Your fee schedule isn't clearly disclosed anywhere in the app. This is the third fee I've been charged this year that surprised me. Nobody told me the monthly maintenance fee was going up.,fee_complaint
TCKT00039,CUST001301,2025-01-07 04:21:43,My healthcare payment keeps failing,"I need this resolved quickly because the merchant is threatening to cancel my order. I tried to pay Rivera, Todd and Gaines for $493.26 and the transaction was declined. Please refund the pending hold from the failed charge.",failed_transaction
TCKT00040,CUST002731,2025-01-07 04:57:24,Still waiting on a reply from support,"Your chat support disconnected me before resolving my issue. This is taking far too long to resolve for a simple issue. I just want an update, even if the answer is 'still working on it'. I've called twice and been on hold for over 40 minutes each time.",slow_support
TCKT00041,CUST002500,2025-01-07 07:08:15,Transaction failed but money was taken,My card was declined even though I have sufficient balance. This is the second time a healthcare purchase has failed this month.,failed_transaction
TCKT00042,CUST004375,2025-01-07 12:58:54,Password reset link not working,I never receive the verification code by text or email. I've reset my password three times and still can't log in.,login_issue
TCKT00043,CUST001280,2025-01-07 23:41:42,Asking about interest rates,Just have a quick question about how transfers are processed. How do I update my mailing address on file? Where can I download a statement from last 4 days? What's the current interest rate on savings accounts?,general_inquiry
TCKT00044,CUST000294,2025-01-08 01:47:59,Transaction failed but money was taken,This is the second time a healthcare purchase has failed this month. Please refund the pending hold from the failed charge. The payment failed but the funds still show as pending on my account.,failed_transaction
TCKT00045,CUST002247,2025-01-08 03:28:52,Report possible fraud on my account,Please investigate this and issue a new card right away. There's a charge of $525.05 at Rios-Robertson that I never made.,fraud_report
TCKT00046,CUST002506,2025-01-08 03:34:46,Need to verify my identity again,I submitted my ID for verification 14 days ago and heard nothing back. This review process is taking way too long for a routine check. I can't withdraw or transfer any funds right now.,account_access
TCKT00047,CUST000657,2025-01-08 09:18:50,Charge did not go through at King-Lee,The transaction error code didn't explain what actually went wrong. Please refund the pending hold from the failed charge. My card was declined even though I have sufficient balance.,failed_transaction
TCKT00048,CUST001322,2025-01-08 16:37:06,Dispute a service charge,Your fee schedule isn't clearly disclosed anywhere in the app. I was charged a $342.54 fee I don't understand.,fee_complaint
TCKT00049,CUST001473,2025-01-08 19:00:16,Need details on a recent statement,Where can I download a statement from last 2 days? Just have a quick question about how transfers are processed.,general_inquiry
TCKT00050,CUST004416,2025-01-09 03:13:56,Two-factor code never arrives,It says my credentials are invalid even though I just reset them. I've reset my password three times and still can't log in.,login_issue
TCKT00051,CUST002542,2025-01-09 11:23:32,Suspicious charges I did not make,"There's a charge of $319.67 at Ali-Collins that I never made. This looks like classic card-testing fraud, several tiny charges in a row. I did not authorize this transaction and want it reversed.",fraud_report
TCKT00052,CUST001640,2025-01-09 14:03:49,Two-factor code never arrives,The mobile app crashes every time I try to sign in. Can someone manually reset my login so I can access my account? I never receive the verification code by text or email.,login_issue
TCKT00053,CUST002764,2025-01-09 17:25:46,Been on hold for over an hour,"I opened this ticket 4 days ago and still have no response. I've called twice and been on hold for over 40 minutes each time. I just want an update, even if the answer is 'still working on it'.",slow_support
TCKT00054,CUST000120,2025-01-09 19:56:57,Following up again on an open case,I opened this ticket 7 days ago and still have no response. Your chat support disconnected me before resolving my issue.,slow_support
TCKT00055,CUST001328,2025-01-10 01:12:45,Why was I charged an overdraft fee,This is the third fee I've been charged this year that surprised me. I was charged a $387.29 fee I don't understand. I want this fee reversed or a clear explanation of why it was charged.,fee_complaint
TCKT00056,CUST000351,2025-01-10 02:52:37,Unexpected fee on my statement,This overdraft fee seems unfair given my account history. I was charged a $39.88 fee I don't understand. Nobody told me the monthly maintenance fee was going up.,fee_complaint
TCKT00057,CUST004785,2025-01-10 03:39:55,Dispute a service charge,I want this fee reversed or a clear explanation of why it was charged. Nobody told me the monthly maintenance fee was going up. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00058,CUST000001,2025-01-10 05:30:34,Following up again on an open case,"I just want an update, even if the answer is 'still working on it'. I've called twice and been on hold for over 40 minutes each time. Your chat support disconnected me before resolving my issue.",slow_support
TCKT00059,CUST003235,2025-01-10 07:29:34,Been on hold for over an hour,"Please escalate this, I've already followed up twice. Your chat support disconnected me before resolving my issue. I just want an update, even if the answer is 'still working on it'.",slow_support
TCKT00060,CUST004315,2025-01-10 16:30:15,My other payment keeps failing,My card was declined even though I have sufficient balance. This is the second time a groceries purchase has failed this month. I tried to pay Barker and Sons for $154.37 and the transaction was declined.,failed_transaction
TCKT00061,CUST003654,2025-01-10 18:39:34,Suspicious charges I did not make,"My card must have been compromised, please freeze my account immediately. I noticed several small unauthorized charges over the past 7 days. This looks like classic card-testing fraud, several tiny charges in a row.",fraud_report
TCKT00062,CUST001220,2025-01-11 01:04:05,Dispute a service charge,This is the third fee I've been charged this year that surprised me. I was charged a $620.04 fee I don't understand. Nobody told me the monthly maintenance fee was going up. This overdraft fee seems unfair given my account history.,fee_complaint
TCKT00063,CUST002781,2025-01-11 01:25:21,Password reset link not working,This has been happening for 4 days now and it's frustrating. Can someone manually reset my login so I can access my account? I never receive the verification code by text or email. I've reset my password three times and still can't log in.,login_issue
TCKT00064,CUST005000,2025-01-11 14:02:45,App keeps logging me out,This has been happening for 8 days now and it's frustrating. I've reset my password three times and still can't log in. I never receive the verification code by text or email. The mobile app crashes every time I try to sign in.,login_issue
TCKT00065,CUST001299,2025-01-11 14:54:06,Suspicious charges I did not make,"There's a charge of $599.18 at Evans, Hernandez and Cannon that I never made. Please investigate this and issue a new card right away.",fraud_report
TCKT00066,CUST003239,2025-01-11 16:23:30,Just wanted to say thanks,Just wanted to recognize your team for great service this week. Switching to this bank was one of the best financial decisions I've made.,positive_feedback
TCKT00067,CUST000248,2025-01-12 04:50:37,Just wanted to say thanks,Switching to this bank was one of the best financial decisions I've made. Thank you for being transparent about the recent fee changes.,positive_feedback
TCKT00068,CUST003113,2025-01-12 07:15:01,Really happy with the new features,"Your support agent resolved my issue in minutes, really appreciated it. The new budgeting feature in the app is genuinely useful.",positive_feedback
TCKT00069,CUST003041,2025-01-12 12:54:23,My subscription payment keeps failing,The payment failed but the funds still show as pending on my account. This is the second time a fuel purchase has failed this month.,failed_transaction
TCKT00070,CUST001152,2025-01-12 14:06:19,Can't log into my account,Can someone manually reset my login so I can access my account? This has been happening for 9 days now and it's frustrating. It says my credentials are invalid even though I just reset them. I've reset my password three times and still can't log in.,login_issue
TCKT00071,CUST003344,2025-01-12 15:07:49,"Failed transaction, need urgent help",Please refund the pending hold from the failed charge. This is the second time a electronics purchase has failed this month. The transaction error code didn't explain what actually went wrong. The payment failed but the funds still show as pending on my account.,failed_transaction
TCKT00072,CUST001153,2025-01-12 16:18:13,Great experience with your app,Just wanted to recognize your team for great service this week. The app redesign is clean and much easier to navigate.,positive_feedback
TCKT00073,CUST000102,2025-01-12 20:37:27,Unexpected fee on my statement,This overdraft fee seems unfair given my account history. I was charged a $449.85 fee I don't understand. Nobody told me the monthly maintenance fee was going up. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00074,CUST001707,2025-01-12 22:20:50,Really happy with the new features,The app redesign is clean and much easier to navigate. Just wanted to recognize your team for great service this week.,positive_feedback
TCKT00075,CUST004855,2025-01-13 06:40:10,Monthly fee increased without notice,Nobody told me the monthly maintenance fee was going up. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00076,CUST004976,2025-01-13 11:17:37,Asking about interest rates,Can you explain the difference between the Basic and Premium account tiers? Where can I download a statement from last 14 days? What's the current interest rate on savings accounts?,general_inquiry
TCKT00077,CUST000477,2025-01-13 13:26:17,Dispute a service charge,This is the third fee I've been charged this year that surprised me. I want this fee reversed or a clear explanation of why it was charged.,fee_complaint
TCKT00078,CUST000963,2025-01-13 16:39:17,Too many hidden fees,This overdraft fee seems unfair given my account history. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00079,CUST002478,2025-01-13 20:23:34,My groceries payment keeps failing,Please refund the pending hold from the failed charge. This is the second time a groceries purchase has failed this month.,failed_transaction
TCKT00080,CUST003146,2025-01-14 03:27:02,My subscription payment keeps failing,I tried to pay Hunt-Burns for $600.64 and the transaction was declined. The transaction error code didn't explain what actually went wrong.,failed_transaction
TCKT00081,CUST003213,2025-01-14 07:34:22,Two-factor code never arrives,The mobile app crashes every time I try to sign in. It says my credentials are invalid even though I just reset them. I've reset my password three times and still can't log in. This has been happening for 10 days now and it's frustrating.,login_issue
TCKT00082,CUST001830,2025-01-14 19:49:49,Dispute a service charge,Nobody told me the monthly maintenance fee was going up. Your fee schedule isn't clearly disclosed anywhere in the app. I want this fee reversed or a clear explanation of why it was charged. This overdraft fee seems unfair given my account history.,fee_complaint
TCKT00083,CUST003739,2025-01-14 19:57:46,Just wanted to say thanks,The new budgeting feature in the app is genuinely useful. Switching to this bank was one of the best financial decisions I've made. Thank you for being transparent about the recent fee changes.,positive_feedback
TCKT00084,CUST002994,2025-01-14 21:04:14,Still waiting on a reply from support,"Please escalate this, I've already followed up twice. I just want an update, even if the answer is 'still working on it'.",slow_support
TCKT00085,CUST000123,2025-01-15 10:39:11,Support is way too slow,Your chat support disconnected me before resolving my issue. I opened this ticket 5 days ago and still have no response.,slow_support
TCKT00086,CUST001626,2025-01-15 18:01:46,Why was I charged an overdraft fee,Nobody told me the monthly maintenance fee was going up. This is the third fee I've been charged this year that surprised me. I want this fee reversed or a clear explanation of why it was charged. Your fee schedule isn't clearly disclosed anywhere in the app.,fee_complaint
TCKT00087,CUST004838,2025-01-15 22:51:55,Why was I charged an overdraft fee,I want this fee reversed or a clear explanation of why it was charged. Nobody told me the monthly maintenance fee was going up. Your fee schedule isn't clearly disclosed anywhere in the app.,fee_complaint
TCKT00088,CUST003745,2025-01-16 01:06:19,Account frozen without explanation,I submitted my ID for verification 5 days ago and heard nothing back. This review process is taking way too long for a routine check. My account has been frozen and nobody has explained why.,account_access
TCKT00089,CUST003526,2025-01-16 04:21:53,Transaction failed but money was taken,My card was declined even though I have sufficient balance. I tried to pay Williams Group for $610.17 and the transaction was declined. I need this resolved quickly because the merchant is threatening to cancel my order. The transaction error code didn't explain what actually went wrong.,failed_transaction
TCKT00090,CUST000392,2025-01-16 13:16:04,Too many hidden fees,Nobody told me the monthly maintenance fee was going up. Your fee schedule isn't clearly disclosed anywhere in the app. This overdraft fee seems unfair given my account history. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00091,CUST004314,2025-01-16 16:20:33,Really happy with the new features,"The new budgeting feature in the app is genuinely useful. Your support agent resolved my issue in minutes, really appreciated it.",positive_feedback
TCKT00092,CUST003239,2025-01-16 19:20:08,"Failed transaction, need urgent help",Please refund the pending hold from the failed charge. I tried to pay King-Martinez for $470.29 and the transaction was declined. The transaction error code didn't explain what actually went wrong.,failed_transaction
TCKT00093,CUST001635,2025-01-17 00:02:12,Excellent service this week,The new budgeting feature in the app is genuinely useful. The app redesign is clean and much easier to navigate. Switching to this bank was one of the best financial decisions I've made.,positive_feedback
TCKT00094,CUST000482,2025-01-17 12:46:31,Too many hidden fees,This overdraft fee seems unfair given my account history. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00095,CUST001385,2025-01-17 15:13:03,Excellent service this week,Just wanted to recognize your team for great service this week. The new budgeting feature in the app is genuinely useful. The app redesign is clean and much easier to navigate. Switching to this bank was one of the best financial decisions I've made.,positive_feedback
TCKT00096,CUST002881,2025-01-17 15:43:42,Unauthorized transaction on my account,"I noticed several small unauthorized charges over the past 8 days. I did not authorize this transaction and want it reversed. There's a charge of $644.5 at Rice Ltd that I never made. This looks like classic card-testing fraud, several tiny charges in a row.",fraud_report
TCKT00097,CUST003933,2025-01-17 21:00:28,Following up again on an open case,"Please escalate this, I've already followed up twice. I opened this ticket 6 days ago and still have no response. This is taking far too long to resolve for a simple issue. I just want an update, even if the answer is 'still working on it'.",slow_support
TCKT00098,CUST003074,2025-01-17 21:10:21,Password reset link not working,This has been happening for 7 days now and it's frustrating. The mobile app crashes every time I try to sign in. Can someone manually reset my login so I can access my account? I've reset my password three times and still can't log in.,login_issue
TCKT00099,CUST002185,2025-01-17 23:11:01,Why was I charged an overdraft fee,I want this fee reversed or a clear explanation of why it was charged. I was charged a $267.57 fee I don't understand. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00100,CUST004389,2025-01-18 05:43:18,Thank you to your support team,"The app redesign is clean and much easier to navigate. Your support agent resolved my issue in minutes, really appreciated it. Thank you for being transparent about the recent fee changes.",positive_feedback
TCKT00101,CUST000362,2025-01-18 18:02:05,App keeps logging me out,This has been happening for 7 days now and it's frustrating. Can someone manually reset my login so I can access my account? The mobile app crashes every time I try to sign in.,login_issue
TCKT00102,CUST004398,2025-01-19 00:01:57,Monthly fee increased without notice,I was charged a $83.59 fee I don't understand. Your fee schedule isn't clearly disclosed anywhere in the app. Nobody told me the monthly maintenance fee was going up.,fee_complaint
TCKT00103,CUST000683,2025-01-19 06:15:02,Transaction failed but money was taken,I need this resolved quickly because the merchant is threatening to cancel my order. This is the second time a other purchase has failed this month. The payment failed but the funds still show as pending on my account.,failed_transaction
TCKT00104,CUST002834,2025-01-19 10:14:13,Payment declined for no reason,The payment failed but the funds still show as pending on my account. I need this resolved quickly because the merchant is threatening to cancel my order. This is the second time a utilities purchase has failed this month.,failed_transaction
TCKT00105,CUST001129,2025-01-19 11:03:48,Why was I charged an overdraft fee,I was charged a $101.54 fee I don't understand. Your fee schedule isn't clearly disclosed anywhere in the app. Nobody told me the monthly maintenance fee was going up. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00106,CUST001810,2025-01-19 11:14:57,Locked out of online banking,I never receive the verification code by text or email. I've reset my password three times and still can't log in. The mobile app crashes every time I try to sign in.,login_issue
TCKT00107,CUST002714,2025-01-19 22:04:07,Question about account types,Where can I download a statement from last 11 days? What's the current interest rate on savings accounts? Just have a quick question about how transfers are processed. Do you offer joint accounts for groceries purposes?,general_inquiry
TCKT00108,CUST001192,2025-01-19 22:50:44,Monthly fee increased without notice,This overdraft fee seems unfair given my account history. I was charged a $639.15 fee I don't understand. Your fee schedule isn't clearly disclosed anywhere in the app. I want this fee reversed or a clear explanation of why it was charged.,fee_complaint
TCKT00109,CUST000612,2025-01-20 05:05:23,Payment declined for no reason,I need this resolved quickly because the merchant is threatening to cancel my order. The payment failed but the funds still show as pending on my account.,failed_transaction
TCKT00110,CUST004164,2025-01-20 08:19:25,No response to my ticket in a week,"I opened this ticket 11 days ago and still have no response. Please escalate this, I've already followed up twice.",slow_support
TCKT00111,CUST000098,2025-01-20 13:41:08,Can't access funds in my account,My account has been frozen and nobody has explained why. This review process is taking way too long for a routine check.,account_access
TCKT00112,CUST000487,2025-01-20 15:02:24,Transaction failed but money was taken,The transaction error code didn't explain what actually went wrong. This is the second time a other purchase has failed this month.,failed_transaction
TCKT00113,CUST003218,2025-01-20 15:59:24,Just wanted to say thanks,"Thank you for being transparent about the recent fee changes. Just wanted to recognize your team for great service this week. The new budgeting feature in the app is genuinely useful. Your support agent resolved my issue in minutes, really appreciated it.",positive_feedback
TCKT00114,CUST003619,2025-01-21 16:08:11,Monthly fee increased without notice,This is the third fee I've been charged this year that surprised me. Nobody told me the monthly maintenance fee was going up. I want this fee reversed or a clear explanation of why it was charged.,fee_complaint
TCKT00115,CUST002916,2025-01-21 17:29:20,Why was I charged an overdraft fee,Your fee schedule isn't clearly disclosed anywhere in the app. I was charged a $551.85 fee I don't understand. This overdraft fee seems unfair given my account history.,fee_complaint
TCKT00116,CUST000385,2025-01-21 17:36:56,Just wanted to say thanks,"Thank you for being transparent about the recent fee changes. The new budgeting feature in the app is genuinely useful. The app redesign is clean and much easier to navigate. Your support agent resolved my issue in minutes, really appreciated it.",positive_feedback
TCKT00117,CUST000890,2025-01-21 22:30:48,Just wanted to say thanks,The new budgeting feature in the app is genuinely useful. The app redesign is clean and much easier to navigate.,positive_feedback
TCKT00118,CUST001549,2025-01-22 01:54:55,"Account under review, need status update",I can't withdraw or transfer any funds right now. I rely on this account for daily expenses and need access restored. This review process is taking way too long for a routine check. My account has been frozen and nobody has explained why.,account_access
TCKT00119,CUST001571,2025-01-22 09:26:46,My transfer payment keeps failing,This is the second time a groceries purchase has failed this month. I need this resolved quickly because the merchant is threatening to cancel my order.,failed_transaction
TCKT00120,CUST000686,2025-01-22 18:35:31,Payment declined for no reason,Please refund the pending hold from the failed charge. The transaction error code didn't explain what actually went wrong. My card was declined even though I have sufficient balance.,failed_transaction
TCKT00121,CUST000868,2025-01-23 04:40:56,Payment declined for no reason,The transaction error code didn't explain what actually went wrong. I need this resolved quickly because the merchant is threatening to cancel my order.,failed_transaction
TCKT00122,CUST004485,2025-01-23 05:26:02,Unexpected fee on my statement,Nobody told me the monthly maintenance fee was going up. This overdraft fee seems unfair given my account history.,fee_complaint
TCKT00123,CUST004807,2025-01-23 09:04:47,Someone used my account without permission,"My card must have been compromised, please freeze my account immediately. There's a charge of $46.44 at Hernandez, Williams and Ruiz that I never made. Please investigate this and issue a new card right away.",fraud_report
TCKT00124,CUST000007,2025-01-23 12:43:41,Why was I charged an overdraft fee,This overdraft fee seems unfair given my account history. Nobody told me the monthly maintenance fee was going up. This is the third fee I've been charged this year that surprised me.,fee_complaint
TCKT00125,CUST001229,2025-01-23 19:49:28,Payment declined for no reason,My card was declined even though I have sufficient balance. I tried to pay Henderson Ltd for $251.85 and the transaction was declined.,failed_transaction
TCKT00126,CUST003565,2025-01-24 02:21:32,"Charge did not go through at Wright, Hooper and Harris",My card was declined even though I have sufficient balance. This is the second time a entertainment purchase has failed this month. Please refund the pending hold from the failed charge. The payment failed but the funds still show as pending on my account.,failed_transaction
TCKT00127,CUST000048,2025-01-24 02:25:47,Transaction failed but money was taken,The transaction error code didn't explain what actually went wrong. My card was declined even though I have sufficient balance.,failed_transaction
TCKT00128,CUST002994,2025-01-24 10:25:42,Report possible fraud on my account,"This looks like classic card-testing fraud, several tiny charges in a row. I noticed several small unauthorized charges over the past 12 days. I did not authorize this transaction and want it reversed.",fraud_report
TCKT00129,CUST001921,2025-01-24 13:59:39,Dispute a service charge,I want this fee reversed or a clear explanation of why it was charged. Nobody told me the monthly maintenance fee was going up. I was charged a $520.03 fee I don't understand.,fee_complaint
TCKT00130,CUST003001,2025-01-24 14:44:37,"Failed transaction, need urgent help",Please refund the pending hold from the failed charge. The payment failed but the funds still show as pending on my account. I tried to pay Stewart Ltd for $343.77 and the transaction was declined. This is the second time a fuel purchase has failed this month.,failed_transaction
TCKT00131,CUST000909,2025-01-25 04:41:09,My groceries payment keeps failing,Please refund the pending hold from the failed charge. This is the second time a entertainment purchase has failed this month. My card was declined even though I have sufficient balance.,failed_transaction
TCKT00132,CUST003902,2025-01-25 05:38:47,Great experience with your app,"The new budgeting feature in the app is genuinely useful. Your support agent resolved my issue in minutes, really appreciated it. Thank you for being transparent about the recent fee changes. Just wanted to recognize your team for great service this week.",positive_feedback
TCKT00133,CUST000282,2025-01-25 15:08:36,Locked out of online banking,It says my credentials are invalid even though I just reset them. This has been happening for 6 days now and it's frustrating.,login_issue
TCKT00134,CUST003508,2025-01-25 16:35:51,Too many hidden fees,I was charged a $134.96 fee I don't understand. This is the third fee I've been charged this year that surprised me. Your fee schedule isn't clearly disclosed anywhere in the app.,fee_complaint
TCKT00135,CUST002813,2025-01-25 17:14:19,Been on hold for over an hour,I've called twice and been on hold for over 40 minutes each time. I opened this ticket 7 days ago and still have no response.,slow_support
TCKT00136,CUST000744,2025-01-25 18:42:17,Great experience with your app,The new budgeting feature in the app is genuinely useful. Switching to this bank was one of the best financial decisions I've made. The app redesign is clean and much easier to navigate.,positive_feedback
TCKT00137,CUST002555,2025-01-25 19:40:24,Can't log into my account,This has been happening for 2 days now and it's frustrating. It says my credentials are invalid even though I just reset them. I never receive the verification code by text or email.,login_issue
TCKT00138,CUST002714,2025-01-25 21:24:31,Transaction failed but money was taken,I need this resolved quickly because the merchant is threatening to cancel my order. My card was declined even though I have sufficient balance. The payment failed but the funds still show as pending on my account. I tried to pay Newton-Kelly for $359.86 and the transaction was declined.,failed_transaction
TCKT00139,CUST002025,2025-01-26 04:57:21,Just wanted to say thanks,Switching to this bank was one of the best financial decisions I've made. The app redesign is clean and much easier to navigate. The new budgeting feature in the app is genuinely useful. Thank you for being transparent about the recent fee changes.,positive_feedback
TCKT00140,CUST001071,2025-01-26 07:09:11,Transaction failed but money was taken,I need this resolved quickly because the merchant is threatening to cancel my order. My card was declined even though I have sufficient balance. I tried to pay Knight-Hopkins for $550.78 and the transaction was declined. The payment failed but the funds still show as pending on my account.,failed_transaction
